"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL673";"PARGYLINE";"Eutonyl|Eutron|PARGILINA|PARGYLINE|Pargyline";"";"4.0";"Abbott Laboratories Pharmaceutical Products Div";"";"1962";"";"";"1982";"C02KC01";"C02KC - MAO inhibitors";"C02K - OTHER ANTIHYPERTENSIVES";"C02 - ANTIHYPERTENSIVES";"C - CARDIOVASCULAR SYSTEM";"Antihypertensive";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Discontinued";"C#CCN(C)Cc1ccccc1";"InChI=1S/C11H13N/c1-3-9-12(2)10-11-7-5-4-6-8-11/h1,4-8H,9-10H2,2H3";"False";"0"
"CHEMBL1200878";"TRIAMCINOLONE HEXACETONIDE";"ARISTOSPAN|CL 34433|CL-34433|HEXACETONIDE DE TRIAMCINOLONE|HEXACETONIDO DE TRIAMCINOLONA|LEDERSPAN|TATBA|TRIAMCINOLONE HEXACETONIDE";"CL 34433|CL-34433|TATBA";"4.0";"Sandoz Inc";"'-olone; -onide'";"1964";"steroids (not prednisolone derivatives); topical steroids (acetal derivatives)";"'-olone(-olone); -onide(-onide)'";"1969";"";"";"";"";"";"Glucocorticoid";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"1";"0";"1";"0";"0";"Prescription Only";"CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C";"InChI=1S/C30H41FO7/c1-25(2,3)15-24(35)36-16-22(34)30-23(37-26(4,5)38-30)13-20-19-9-8-17-12-18(32)10-11-27(17,6)29(19,31)21(33)14-28(20,30)7/h10-12,19-21,23,33H,8-9,13-16H2,1-7H3/t19-,20-,21-,23+,27-,28-,29-,30+/m0/s1";"False";"0"
"CHEMBL29411";"THYMOL";"3-HYDROXY-P-CYMENE|APIGUARD|EFTAB|FEMA NO. 3066|GPPE MTHWSH TAB|LISTERINE|NSC-11215|NSC-47821|NSC-49142|P-CYMEN-3-OL|SOTOL|TELLODONT|TELLORA|THYME CAMPHOR|THYMOL|THYMOLUM|VALDA";"FEMA NO. 3066|NSC-11215|NSC-47821|NSC-49142";"4.0";"";"";"";"";"";"";"";"";"";"";"";"Pharmaceutic Aid (stabilizer)";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Cc1ccc(C(C)C)c(O)c1";"InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)6-10(9)11/h4-7,11H,1-3H3";"False";"0"
"CHEMBL278623";"MACIMORELIN";"AEZS-130|ARD-07|ARD07|EP-01572|EP-1572|EP01572|EP1572|JMV 1843|JMV-1843|MACIMORELIN|MACIMORELINA|MACIMORELINE|Macimorelin|Macrilen|Solorel";"AEZS-130|ARD-07|ARD07|EP-01572|EP-1572|EP01572|EP1572|JMV 1843|JMV-1843";"4.0";"Novo Nordisk Inc";"'-relin'";"2013";"prehormones or hormone-release stimulating peptides: growth hormone-release stimulating peptides";"'-relin(-relin (-morelin))'";"2017";"V04CD06";"V04CD - Tests for pituitary function";"V04C - OTHER DIAGNOSTIC AGENTS";"V04 - DIAGNOSTIC AGENTS";"V - VARIOUS";"";"US-8192719-B2";"1:Synthetic Small Molecule";"0";"1";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)NC=O";"InChI=1S/C26H30N6O3/c1-26(2,27)25(35)31-22(11-16-13-28-20-9-5-3-7-18(16)20)24(34)32-23(30-15-33)12-17-14-29-21-10-6-4-8-19(17)21/h3-10,13-15,22-23,28-29H,11-12,27H2,1-2H3,(H,30,33)(H,31,35)(H,32,34)/t22-,23-/m1/s1";"False";"0"
"CHEMBL2103822";"TASIMELTEON";"BMS-214,778|BMS-214778|HETLIOZ LQ|Hetlioz|TASIMELTEON|VEC-162";"BMS-214,778|BMS-214778|VEC-162";"4.0";"Apotex Inc|Vanda Pharmaceuticals Inc|Teva Pharmaceuticals Usa Inc|Msn Laboratories Private Ltd";"'-melteon'";"2007";"selective melatonin receptor agonist";"'-melteon(-melteon)'";"2014";"N05CH03";"N05CH - Melatonin receptor agonists";"N05C - HYPNOTICS AND SEDATIVES";"N05 - PSYCHOLEPTICS";"N - NERVOUS SYSTEM";"";"US-9060995-B2";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2";"InChI=1S/C15H19NO2/c1-2-15(17)16-9-10-8-13(10)11-4-3-5-14-12(11)6-7-18-14/h3-5,10,13H,2,6-9H2,1H3,(H,16,17)/t10-,13+/m0/s1";"False";"1"
"CHEMBL396778";"SAFINAMIDE";"EMD 1195686|EMD-1195686|SAFINAMIDA|SAFINAMIDE|XADAGO";"EMD 1195686|EMD-1195686";"4.0";"Aurobindo Pharma Ltd|Mdd Us Operations Llc";"";"2011";"";"";"2015";"N04BD03";"N04BD - Monoamine oxidase B inhibitors";"N04B - DOPAMINERGIC AGENTS";"N04 - ANTI-PARKINSON DRUGS";"N - NERVOUS SYSTEM";"";"US-8076515-B2";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O";"InChI=1S/C17H19FN2O2/c1-12(17(19)21)20-10-13-5-7-16(8-6-13)22-11-14-3-2-4-15(18)9-14/h2-9,12,20H,10-11H2,1H3,(H2,19,21)/t12-/m0/s1";"False";"0"
"CHEMBL406";"INDAPAMIDE";"ARIFON|BAJATEN|CARDIDE SR|DAMIDE|ETHIBIDE XL|FLUBEST|FLUDEX|FLUDIN|FLUPAMID|INDAFLEX|INDAMIDE|INDAMOL|INDAPAMIDA|INDAPAMIDE|INDAXA 2.5|INDIPAM XL|IPAMIX|KYD-041|LORVAS|LOZOL|MAPEMID XL|NATRILIX|NATRILIX SR|NATRIX|NINDAXA 2.5|NORANAT|NSC-757075|OPUMIDE 2.5|RAWEL XL|S-1520|SE-1520|TANDIX|TENSAID XL|TERTENSIF|VARBIM XL|VEROXIL";"KYD-041|NSC-757075|S-1520|SE-1520";"4.0";"Sanofi Aventis Us Llc|Rising Pharma Holdings Inc|Actavis Elizabeth Llc|Watson Laboratories Inc|Teva Pharmaceuticals Usa Inc|Ani Pharmaceuticals Inc|Aurobindo Pharma Usa Inc|Chartwell Rx Sciences Llc";"'-pamide'";"1979";"diuretics (sulfamoylbenzoic acid derivatives)";"'-pamide(-pamide)'";"1983";"C03BA11";"C03BA - Sulfonamides, plain";"C03B - LOW-CEILING DIURETICS, EXCL. THIAZIDES";"C03 - DIURETICS";"C - CARDIOVASCULAR SYSTEM";"Antihypertensive; Diuretic";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"0";"0";"Prescription Only";"CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1";"InChI=1S/C16H16ClN3O3S/c1-10-8-11-4-2-3-5-14(11)20(10)19-16(21)12-6-7-13(17)15(9-12)24(18,22)23/h2-7,9-10H,8H2,1H3,(H,19,21)(H2,18,22,23)";"False";"0"
"CHEMBL312448";"XYLOMETAZOLINE";"BALMINIL|XILOMETAZOLINA|XYLOMETAZOLINE";"";"4.0";"";"'-azoline'";"";"antihistamines/local vasoconstrictors (antazoline type)";"'-azoline(-azoline)'";"";"S01GA53 | R01AA07 | R01AB06 | S01GA03";"S01GA - Sympathomimetics used as decongestants | R01AA - Sympathomimetics, plain | R01AB - Sympathomimetics, combinations excl. corticosteroids | S01GA - Sympathomimetics used as decongestants";"S01G - DECONGESTANTS AND ANTIALLERGICS | R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE | R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE | S01G - DECONGESTANTS AND ANTIALLERGICS";"S01 - OPHTHALMOLOGICALS | R01 - NASAL PREPARATIONS | R01 - NASAL PREPARATIONS | S01 - OPHTHALMOLOGICALS";"S - SENSORY ORGANS | R - RESPIRATORY SYSTEM | R - RESPIRATORY SYSTEM | S - SENSORY ORGANS";"Adrenergic (vasoconstrictor)";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1";"InChI=1S/C16H24N2/c1-11-8-13(16(3,4)5)9-12(2)14(11)10-15-17-6-7-18-15/h8-9H,6-7,10H2,1-5H3,(H,17,18)";"False";"0"
"CHEMBL5219790";"CETRIMIDE";"ANGLIAN|BACTRIAN|BANSOR|CEANEL|CETAVLEX|CETAVLON|CETAVLON PC|CETRIMIDA|CETRIMIDE|CETRIMIDE BROMIDE|CETRIMIDES|CETRIMIDUM|CRADOCAP|LISSOLAMINE V|MEDICAID|QUAMMONIUM|RICHMOND|SUTICIDE|TORACSOL";"";"4.0";"";"";"";"";"";"";"D11AC01 | D08AJ04";"D11AC - Medicated shampoos | D08AJ - Quaternary ammonium compounds";"D11A - OTHER DERMATOLOGICAL PREPARATIONS | D08A - ANTISEPTICS AND DISINFECTANTS";"D11 - OTHER DERMATOLOGICAL PREPARATIONS | D08 - ANTISEPTICS AND DISINFECTANTS";"D - DERMATOLOGICALS | D - DERMATOLOGICALS";"";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"";"";"False";"0"
"CHEMBL641";"ATOMOXETINE";"ATOMOXETINA|ATOMOXETINE|Atomoxetine|Strattera";"";"4.0";"Teva Pharmaceuticals Usa|Glenmark Pharmaceuticals Ltd|Dr Reddys Laboratories Ltd|Strides Pharma Global Pte Ltd|Apotex Inc|Actavis Elizabeth Llc|Sun Pharma Global Inc|Aurobindo Pharma Ltd|Hetero Labs Ltd Unit V|Zydus Pharmaceuticals Usa Inc";"'-oxetine'";"2001";"antidepressants (fluoxetine type)";"'-oxetine(-oxetine)'";"2002";"N06BA09";"N06BA - Centrally acting sympathomimetics";"N06B - PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS";"N06 - PSYCHOANALEPTICS";"N - NERVOUS SYSTEM";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"0";"0";"1";"Prescription Only";"CNCC[C@@H](Oc1ccccc1C)c1ccccc1";"InChI=1S/C17H21NO/c1-14-8-6-7-11-16(14)19-17(12-13-18-2)15-9-4-3-5-10-15/h3-11,17-18H,12-13H2,1-2H3/t17-/m1/s1";"False";"0"
"CHEMBL1450";"ATOVAQUONE";"566C|566C80|ATOVACUONA|ATOVAQUONE|MEPRON|Mepron|NSC-759582|WELLVONE";"566C|566C80|NSC-759582";"4.0";"Mylan Pharmaceuticals Inc|Glenmark Generics Ltd|Glaxosmithkline|Bionpharma Inc|Apotex Inc|Abhai Llc|Hetero Labs Ltd Unit Iii|Glaxosmithkline Llc|Amneal Pharmaceuticals|Lupin Ltd";"";"1993";"";"";"1992";"P01AX06";"P01AX - Other agents against amoebiasis and other protozoal diseases";"P01A - AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES";"P01 - ANTIPROTOZOALS";"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS";"Antipneumocystic";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21";"InChI=1S/C22H19ClO3/c23-16-11-9-14(10-12-16)13-5-7-15(8-6-13)19-20(24)17-3-1-2-4-18(17)21(25)22(19)26/h1-4,9-13,15,26H,5-8H2/t13-,15-";"False";"0"
"CHEMBL1002";"LEVOSALBUTAMOL";"ALBUTEROL (R)-FORM|ASF-1096|LEVALBUTEROL|LEVOSALBUTAMOL|Levalbuterol|Levosalbutamol|R-SALBUTAMOL|Xopenex";"ASF-1096";"4.0";"The Ritedose Corp|Mylan Specialty Lp|Teva Pharmaceuticals Usa|Lupin Inc|Teva Parenteral Medicines Inc|Luoxin Aurovitas Pharma Chengdu Co Ltd|Sun Pharmaceutical Industries Ltd|Hikma Pharmaceuticals Usa Inc|Impax Laboratories Inc|Cipla Ltd";"'-sal-'";"1997";"anti-inflammatory agents (salicylic acid derivatives)";"'-sal-(-sal-)'";"1999";"";"";"";"";"";"Bronchodilator; Asthma Prophylactic";"US-7256310-B2";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"1";"0";"Prescription Only";"CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1";"InChI=1S/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3/t12-/m0/s1";"False";"0"
"CHEMBL22";"TRIMETHOPRIM";"BW 56-72|BW-56-72|INFECTOTRIMET|IPRAL|LEDATRIM|MONOTRIM|NIH-204|NSC-106568|PROLOPRIM|Polytrim|Primsol|Proloprin|SYRAPRIM|TCMDC-125538|TIEMPE|TRIMETHOPRIM|TRIMETHOPRIME|TRIMETHOPRIMUM|TRIMETOPRIMA|TRIMOGAL|TRIMOPAN|TRIMPEX|TRIMPEX 200|TRIPRIMIX 200|WELLCOPRIM";"BW 56-72|BW-56-72|NIH-204|NSC-106568|TCMDC-125538";"4.0";"Interpharm Inc|Bedford Laboratories Div Ben Venue Laboratories Inc|Mylan Laboratories Ltd|Allergan Inc|Monarch Pharmaceuticals Inc|Heritage Pharma Labs Inc Dba Avet Pharmaceuticals Labs Inc|Pharmaceutical Associates Inc|Akorn Operating Co Llc|Aurobindo Pharma Ltd|Pliva Inc";"'-prim'";"1964";"antibacterials (trimethoprim type), dihydrofolate reductase (DHFR) inhibitors";"'-prim(-prim)'";"1973";"J01EA01";"J01EA - Trimethoprim and derivatives";"J01E - SULFONAMIDES AND TRIMETHOPRIM";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"1";"1";"0";"Prescription Only";"COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC";"InChI=1S/C14H18N4O3/c1-19-10-5-8(6-11(20-2)12(10)21-3)4-9-7-17-14(16)18-13(9)15/h5-7H,4H2,1-3H3,(H4,15,16,17,18)";"False";"0"
"CHEMBL2106988";"PENAMECILLIN";"HAVAPEN|PENAMECILINA|PENAMECILLIN|PENAMECILLINE|WY-20,788|WY-20788";"WY-20,788|WY-20788";"4.0";"";"'-cillin'";"1987";"penicillins";"'-cillin(-cillin)'";"";"J01CE06";"J01CE - Beta-lactamase sensitive penicillins";"J01C - BETA-LACTAM ANTIBACTERIALS, PENICILLINS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CC(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2SC1(C)C";"InChI=1S/C19H22N2O6S/c1-11(22)26-10-27-18(25)15-19(2,3)28-17-14(16(24)21(15)17)20-13(23)9-12-7-5-4-6-8-12/h4-8,14-15,17H,9-10H2,1-3H3,(H,20,23)/t14-,15+,17-/m1/s1";"False";"0"
"CHEMBL1908843";"GADOFOSVESET";"D-GULONIC ACID|GADOFOSVESET|GULONIC ACID, D-|MS-325";"MS-325";"4.0";"Lantheus Medical Imaging Inc";"'-fos-; gado-'";"1999";"phosphoro-derivatives; gadolinium derivatives (principally for diagnostic use)";"'-fos-(-fos-); gado-(gado-)'";"2005";"V08CA11";"V08CA - Paramagnetic contrast media";"V08C - MAGNETIC RESONANCE IMAGING CONTRAST MEDIA";"V08 - CONTRAST MEDIA";"V - VARIOUS";"";"None";"1:Synthetic Small Molecule";"0";"0";"Unknown";"0";"0";"1";"0";"1";"Prescription Only";"";"";"False";"0"
"CHEMBL1538";"TENOFOVIR DISOPROXIL";"(R)-BIS(POC)PMPA|BIS-POC-PMPA|GS-4331|TENOFOVIR BIS(ISOPROPYLOXYCARBONYLOXYMETHYL) ESTER|TENOFOVIR DISOPROXIL|Tenofovir disoproxil|VIREAD";"GS-4331";"4.0";"Mylan Laboratories Ltd|Aurobindo Pharma Ltd|Reyoung Corporation|Hetero Labs Ltd Unit V|Strides Pharma Global Pte Ltd|Apotex Inc|Casi Pharmaceuticals Inc|Macleods Pharmaceuticals Ltd|Teva Pharmaceuticals Usa Inc|Lupin Ltd";"'-vir'";"1999";"antivirals";"'-vir(-vir)'";"2001";"J05AF07";"J05AF - Nucleoside and nucleotide reverse transcriptase inhibitors";"J05A - DIRECT ACTING ANTIVIRALS";"J05 - ANTIVIRALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"";"US-7125879-B2";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"1";"1";"0";"0";"1";"Prescription Only";"CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C";"InChI=1S/C19H30N5O10P/c1-12(2)33-18(25)28-9-31-35(27,32-10-29-19(26)34-13(3)4)11-30-14(5)6-24-8-23-15-16(20)21-7-22-17(15)24/h7-8,12-14H,6,9-11H2,1-5H3,(H2,20,21,22)/t14-/m1/s1";"False";"0"
"CHEMBL106";"FLUCONAZOLE";"ALKANAZOLE|BAYT-006267|BAYT006267|CANESTEN ORAL|DIFLUCAN|DIFLUCAN IN SODIUM CHLORIDE|DIFLUCAN ONE|DIFLUCONAZOLE|Diflucan|FLUCONAZOL|FLUCONAZOLE|FLUCONAZOLE IN SODIUM CHLORIDE|FLUCONAZOLI|NSC-758661|Triflucan|UK-49,858|UK-49858|ZOLTEC";"BAYT-006267|BAYT006267|NSC-758661|UK-49,858|UK-49858";"4.0";"Mylan Laboratories Ltd|Sun Pharmaceutical Industries Ltd|Taro Pharmaceutical Industries Ltd|Aurobindo Pharma Ltd|Pliva Inc|Hikma Farmaceutica (Portugal) Sa|Roxane Laboratories Inc|Gedeon Richter Usa Inc|Thinq Pharma-Cro Private Ltd|Dr Reddys Laboratories Inc";"'-conazole'";"1988";"systemic antifungals (miconazole type)";"'-conazole(-conazole)'";"1990";"J02AC01 | D01AC15";"J02AC - Triazole and tetrazole derivatives | D01AC - Imidazole and triazole derivatives";"J02A - ANTIMYCOTICS FOR SYSTEMIC USE | D01A - ANTIFUNGALS FOR TOPICAL USE";"J02 - ANTIMYCOTICS FOR SYSTEMIC USE | D01 - ANTIFUNGALS FOR DERMATOLOGICAL USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE | D - DERMATOLOGICALS";"Antifungal";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"1";"0";"0";"Prescription Only";"OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F";"InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2";"False";"0"
"CHEMBL4594285";"PADELIPORFIN POTASSIUM";"PADELIPORFIN (POTASSIUM)|PADELIPORFIN DI-POTASSIUM|PADELIPORFIN DIPOTASSIUM|PADELIPORFIN POTASSIUM|STAKEL|Tookad|WST-11 DIPOTASSIUM|WST11 DIPOTASSIUM|WST11 POTASSIUM";"WST-11 DIPOTASSIUM|WST11 DIPOTASSIUM|WST11 POTASSIUM";"4.0";"";"'-porfin'";"2019";"benzoporphyrin derivatives";"'-porfin(-porfin)'";"2017";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"";"";"False";"0"
"CHEMBL3786343";"OLMUTINIB";"BI 1482694|BI-1482694|HM-61713|HM61713|OLMUTINIB";"BI 1482694|BI-1482694|HM-61713|HM61713";"4.0";"";"'-tinib'";"2016";"tyrosine kinase inhibitors";"'-tinib(-tinib)'";"2016";"L01EB06";"L01EB - Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors";"L01E - PROTEIN KINASE INHIBITORS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Unknown";"C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1";"InChI=1S/C26H26N6O2S/c1-3-23(33)27-19-5-4-6-21(17-19)34-25-24-22(11-16-35-24)29-26(30-25)28-18-7-9-20(10-8-18)32-14-12-31(2)13-15-32/h3-11,16-17H,1,12-15H2,2H3,(H,27,33)(H,28,29,30)";"False";"0"
"CHEMBL405";"AMPHETAMINE";"ADZENYS ER|ADZENYS XR-ODT|AMFETAMIN|AMFETAMINE|AMPHETAMINE|AMPHETAMINE RESIN COMPLEX|AMPHETAMINE, DL-|ANFETAMINA|Amphetamine|DYANAVEL|DYANAVEL XR|NOREPHEDRANE|NSC-27159";"NSC-27159";"4.0";"Bionpharma Inc|Tris Pharma Inc|Rhodes Pharmaceuticals Lp|Prinston Pharmaceutical Inc|Alkem Laboratories Ltd|Impax Laboratories Inc|Arbor Pharmaceuticals Llc|Epic Pharma Llc|Sun Pharmaceutical Industries Inc|Lannett Co Inc";"";"";"";"";"1955";"N06BA01";"N06BA - Centrally acting sympathomimetics";"N06B - PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS";"N06 - PSYCHOANALEPTICS";"N - NERVOUS SYSTEM";"Stimulant (central)";"US-6913768-B2";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"0";"1";"Prescription Only";"CC(N)Cc1ccccc1";"InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3";"False";"0"
"CHEMBL1200593";"GADOTERIDOL";"GADOTERIDOL|NSC-760055|PROHANCE|PROHANCE MULTIPACK|SQ 32,692|SQ-32692";"NSC-760055|SQ 32,692|SQ-32692";"4.0";"Bracco Diagnostics Inc";"'gado-'";"1990";"gadolinium derivatives (principally for diagnostic use)";"'gado-(gado-)'";"1992";"V08CA04";"V08CA - Paramagnetic contrast media";"V08C - MAGNETIC RESONANCE IMAGING CONTRAST MEDIA";"V08 - CONTRAST MEDIA";"V - VARIOUS";"Diagnostic Aid (paramagnetic)";"None";"1:Synthetic Small Molecule";"0";"0";"Racemic Mixture";"0";"0";"1";"0";"1";"Prescription Only";"";"";"False";"0"
"CHEMBL956";"SUPROFEN";"NSC-303611|P-(2-THENOYL)HYDRATROPIC ACID|P-2-THENOYLHYDRATROPIC ACID|PROFENAL|R-25,061|R-25061|RACEMIC SUPROFEN|SRENDAM|SULPROLTIN|SUPROFEN|SUPROFENE|SUPROFENO|SUTOPROFEN|TN-762|TOPALGIC";"NSC-303611|R-25,061|R-25061|TN-762";"4.0";"Alcon Laboratories Inc";"'-profen'";"1974";"anti-inflammatory/analgesic agents (ibuprofen type)";"'-profen(-profen)'";"1985";"M01AE07";"M01AE - Propionic acid derivatives";"M01A - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS";"M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS";"M - MUSCULO-SKELETAL SYSTEM";"Anti-Inflammatory";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"1";"0";"Withdrawn";"CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1";"InChI=1S/C14H12O3S/c1-9(14(16)17)10-4-6-11(7-5-10)13(15)12-3-2-8-18-12/h2-9H,1H3,(H,16,17)";"True";"0"
"CHEMBL46399";"PHENAZOCINE";"FENAZOCINA|IDS-NP-008|PHENAZOCINE|PHENETHYLAZOCINE|PHENOBENZORPHAN";"IDS-NP-008";"4.0";"";"'-azocine'";"";"narcotic antagonists/agonists (6,7-benzomorphan derivatives)";"'-azocine(-azocine)'";"";"N02AD02";"N02AD - Benzomorphan derivatives";"N02A - OPIOIDS";"N02 - ANALGESICS";"N - NERVOUS SYSTEM";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CC1C2Cc3ccc(O)cc3C1(C)CCN2CCc1ccccc1";"InChI=1S/C22H27NO/c1-16-21-14-18-8-9-19(24)15-20(18)22(16,2)11-13-23(21)12-10-17-6-4-3-5-7-17/h3-9,15-16,21,24H,10-14H2,1-2H3";"False";"0"
"CHEMBL1200932";"IOPAMIDOL";"IOPAMIDOL|IOPAMIDOL-200|IOPAMIDOL-250|IOPAMIDOL-300|IOPAMIDOL-370|IOPAMIRON|ISOVUE-128|ISOVUE-200|ISOVUE-250|ISOVUE-300|ISOVUE-370|ISOVUE-M 200|ISOVUE-M 300|SCANLUX-300|SCANLUX-370|SQ 13,396|SQ-13396";"SQ 13,396|SQ-13396";"4.0";"Baxter Healthcare Corp Anesthesia And Critical Care|Cook Imaging Corp|Abbvie Inc|Sanochemia Corp Usa|Fresenius Kabi Usa Llc|Hospira Worldwide, Inc|Bracco Diagnostics Inc|Hospira Inc|Hainan Poly Pharm Co Ltd";"'io-'";"1979";"iodine-containing contrast media";"'io-(io-)'";"1985";"V08AB04";"V08AB - Watersoluble, nephrotropic, low osmolar X-ray contrast media";"V08A - X-RAY CONTRAST MEDIA, IODINATED";"V08 - CONTRAST MEDIA";"V - VARIOUS";"Diagnostic Aid (radiopaque medium)";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"1";"0";"0";"Prescription Only";"C[C@H](O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I";"InChI=1S/C17H22I3N3O8/c1-6(28)15(29)23-14-12(19)9(16(30)21-7(2-24)3-25)11(18)10(13(14)20)17(31)22-8(4-26)5-27/h6-8,24-28H,2-5H2,1H3,(H,21,30)(H,22,31)(H,23,29)/t6-/m0/s1";"False";"0"
